geo_key,upazila,district,division
603602,AJMIRIGANJ,HABIGANJ,SYLHET
603605,BAHUBAL,HABIGANJ,SYLHET
603611,BANIACHONG,HABIGANJ,SYLHET
603626,CHUNARUGHAT,HABIGANJ,SYLHET
603644,HABIGANJ SADAR,HABIGANJ,SYLHET
603668,LAKHAI,HABIGANJ,SYLHET
603671,MADHABPUR,HABIGANJ,SYLHET
603677,NABIGANJ,HABIGANJ,SYLHET
605814,BARLEKHA,MAULVIBAZAR,SYLHET
605835,JURI,MAULVIBAZAR,SYLHET
605856,KAMALGANJ,MAULVIBAZAR,SYLHET
605865,KULAURA,MAULVIBAZAR,SYLHET
605874,MAULVIBAZAR SADAR,MAULVIBAZAR,SYLHET
605880,RAJNAGAR,MAULVIBAZAR,SYLHET
605883,SREEMANGAL,MAULVIBAZAR,SYLHET
609018,BISHWAMBARPUR,SUNAMGANJ,SYLHET
609023,CHHATAK,SUNAMGANJ,SYLHET
609027,DAKSHIN SUNAMGANJ,SUNAMGANJ,SYLHET
609029,DERAI,SUNAMGANJ,SYLHET
609032,DHARAMPASHA,SUNAMGANJ,SYLHET
609033,DOWARABAZAR,SUNAMGANJ,SYLHET
609047,JAGANNATHPUR,SUNAMGANJ,SYLHET
609050,JAMALGANJ,SUNAMGANJ,SYLHET
609086,SULLA,SUNAMGANJ,SYLHET
609089,SUNAMGANJ SADAR,SUNAMGANJ,SYLHET
609092,TAHIRPUR,SUNAMGANJ,SYLHET
609108,BALAGANJ,SYLHET,SYLHET
609117,BEANI BAZAR,SYLHET,SYLHET
609120,BISHWANATH,SYLHET,SYLHET
609127,COMPANIGANJ,SYLHET,SYLHET
609131,DAKSHIN SURMA,SYLHET,SYLHET
609135,FENCHUGANJ,SYLHET,SYLHET
609138,GOLAPGANJ,SYLHET,SYLHET
609141,GOWAINGHAT,SYLHET,SYLHET
609153,JAINTIAPUR,SYLHET,SYLHET
609159,KANAIGHAT,SYLHET,SYLHET
609162,SYLHET SADAR,SYLHET,SYLHET
609194,ZAKIGANJ,SYLHET,SYLHET
552710,BIRAMPUR,DINAJPUR,RANGPUR
552712,BIRGANJ,DINAJPUR,RANGPUR
552717,BIRAL,DINAJPUR,RANGPUR
552721,BOCHAGANJ,DINAJPUR,RANGPUR
552730,CHIRIRBANDAR,DINAJPUR,RANGPUR
